iter	Logloss
0	0.5265327771
1	0.3967708335
2	0.3332307007
3	0.2882064477
4	0.2596500135
5	0.2320680848
6	0.2130586646
7	0.1962528066
8	0.1872749811
9	0.1787750948
10	0.1709997409
11	0.1678346612
12	0.1631643304
13	0.1593562019
14	0.1574481392
15	0.1554533659
16	0.1545471894
17	0.1532533405
18	0.1523223475
19	0.1519821567
20	0.1512864884
21	0.1506963639
22	0.1505379744
23	0.1501386012
24	0.1496948314
25	0.1493639935
26	0.1490859521
27	0.1490269957
28	0.1489165788
29	0.1488762986
30	0.1488488786
31	0.1486945367
32	0.1485033925
33	0.1483439615
34	0.1483222004
35	0.148304261
36	0.1482710347
37	0.1482513662
38	0.1482293005
39	0.1480918272
40	0.1480720211
41	0.1480581097
42	0.1480089483
43	0.1479918046
44	0.1478835098
45	0.1478525432
46	0.1477533459
47	0.1477433937
48	0.1477297967
49	0.1477143822
50	0.1477035851
51	0.1476405319
52	0.1475768204
53	0.1475601189
54	0.1475499015
55	0.147539183
56	0.1475296435
57	0.1475220295
58	0.1475051806
59	0.1474904243
60	0.1474824665
61	0.1474688204
62	0.1474572767
63	0.147449034
64	0.1474399071
65	0.1474204842
66	0.1473946655
67	0.1473850769
68	0.1473760581
69	0.1473696329
70	0.1473570478
71	0.147346349
72	0.1473252755
73	0.1473121403
74	0.1472782951
75	0.1472701605
76	0.1472513074
77	0.1472381623
78	0.1472278171
79	0.1472174425
80	0.1472114496
81	0.1471991101
82	0.1471925081
83	0.1471849924
84	0.1471807679
85	0.147151717
86	0.1471456947
87	0.1470983016
88	0.147092515
89	0.1470838204
90	0.147073377
91	0.1470659595
92	0.1470592789
93	0.147053345
94	0.1470464286
95	0.1470068361
96	0.1470010593
97	0.1469917261
98	0.1469838371
99	0.1469799761
100	0.1469665952
101	0.1469601995
102	0.1469447948
103	0.1469354419
104	0.1469284567
105	0.1469229157
106	0.1469162548
107	0.1469092794
108	0.1468987968
109	0.1468941694
110	0.1468878327
111	0.1468773598
112	0.1468723788
113	0.1468653151
114	0.1468590176
115	0.1468507356
116	0.1468444087
117	0.1468375905
118	0.1468289548
119	0.1468236988
120	0.1468192385
121	0.1467746159
122	0.1467687605
123	0.1467609697
124	0.1467555172
125	0.1467289126
126	0.1467202278
127	0.1467149422
128	0.1467075739
129	0.146701021
130	0.1466964232
131	0.1466885145
132	0.14667422
133	0.1466632166
134	0.1466572826
135	0.1466511227
136	0.1466441965
137	0.1466383018
138	0.1466334977
139	0.1466286247
140	0.1466227792
141	0.1466138783
142	0.1466069422
143	0.1465882561
144	0.1465804457
145	0.14657349
146	0.1465698255
147	0.1465618677
148	0.1465566215
149	0.1465504714
150	0.1465452939
151	0.1465388589
152	0.1465329937
153	0.1465266766
154	0.1465200647
155	0.1465153392
156	0.1465094543
157	0.1464974783
158	0.1464932047
159	0.146488882
160	0.1464832919
161	0.1464748232
162	0.1464685748
163	0.1464636332
164	0.1464594774
165	0.1464524333
166	0.1464420783
167	0.1464375493
168	0.146428108
169	0.1464213095
170	0.1464136366
171	0.1464090388
172	0.1464035862
173	0.1463981926
174	0.1463931134
175	0.1463886039
176	0.1463845268
177	0.1463779149
178	0.1463733368
179	0.1463674323
180	0.1463584036
181	0.14635357
182	0.1463483237
183	0.1463426649
184	0.1463379393
185	0.1463317401
186	0.1463284293
187	0.1463228195
188	0.1463164926
189	0.1463111874
190	0.1463015594
191	0.146293356
192	0.1462872059
193	0.1462809576
194	0.1462735008
195	0.1462688146
196	0.1462623501
197	0.146256534
198	0.1462511797
199	0.1462467587
200	0.1462422591
201	0.1462383097
202	0.1462342031
203	0.1462298017
204	0.1462256853
205	0.1462192208
206	0.1462109879
207	0.1462047986
208	0.1461997684
209	0.1461956717
210	0.1461898949
211	0.1461822318
212	0.1461786459
213	0.1461726235
214	0.1461646854
215	0.1461538785
216	0.1461503908
217	0.1461458912
218	0.1461415095
219	0.1461369215
220	0.1461336107
221	0.1461312528
222	0.1461268515
223	0.1461220571
224	0.1461147969
225	0.1461102482
226	0.1461053458
227	0.1461016518
228	0.146097614
229	0.1460845867
230	0.1460806275
231	0.1460744086
232	0.1460696929
233	0.1460655273
234	0.1460602418
235	0.1460450336
236	0.1460429311
237	0.1460319867
238	0.1460270548
239	0.1460229482
240	0.1460107266
241	0.1460043604
242	0.1459988292
243	0.1459954693
244	0.1459923451
245	0.1459885038
246	0.1459843087
247	0.1459806639
248	0.1459756436
249	0.1459728141
250	0.1459680296
251	0.1459640507
252	0.1459608873
253	0.1459575863
254	0.1459531849
255	0.1459485772
256	0.1459445099
257	0.1459401381
258	0.1459381437
259	0.1459343515
260	0.145930628
261	0.1459276119
262	0.145918485
263	0.1459146928
264	0.1459097904
265	0.1459049076
266	0.1459008796
267	0.1458962916
268	0.1458918313
269	0.1458870763
270	0.1458818988
271	0.1458775564
272	0.1458733712
273	0.1458698344
274	0.1458650794
275	0.1458613657
276	0.1458572788
277	0.1458532507
278	0.1458507357
279	0.1458460396
280	0.1458427975
281	0.1458390839
282	0.1458335724
283	0.1458258111
284	0.1458225396
285	0.1458178533
286	0.1458138351
287	0.1458090702
288	0.1458043938
289	0.1457990886
290	0.145795041
291	0.1457918578
292	0.1457878691
293	0.1457812474
294	0.1457735254
295	0.1457711283
296	0.1457681515
297	0.145764094
298	0.1457607242
299	0.1457577572
300	0.1457527959
301	0.1457487482
302	0.1457423132
303	0.1457393757
304	0.1457357014
305	0.1457303176
306	0.1457254152
307	0.1457210335
308	0.1457177128
309	0.1457140778
310	0.145708694
311	0.1457046856
312	0.145701473
313	0.1456969047
314	0.1456926605
315	0.1456865595
316	0.1456822466
317	0.1456798298
318	0.1456754088
319	0.1456703394
320	0.1456674706
321	0.1456647296
322	0.145659395
323	0.1456555634
324	0.1456526063
325	0.1456487551
326	0.1456441081
327	0.1456389601
328	0.1456350697
329	0.1456298627
330	0.1456254122
331	0.1456215218
332	0.145618093
333	0.1456143794
334	0.1456082195
335	0.1456036216
336	0.1455990238
337	0.145595821
338	0.1455922155
339	0.145586704
340	0.1455827054
341	0.1455797777
342	0.1455754648
343	0.1455725568
344	0.1455676642
345	0.1455629878
346	0.145560512
347	0.1455567198
348	0.1455528195
349	0.1455482216
350	0.1455459227
351	0.1455410989
352	0.1455367074
353	0.1455347032
354	0.1455323552
355	0.1455259791
356	0.1455239455
357	0.145518542
358	0.1455116256
359	0.1455076172
360	0.1455033338
361	0.1455012314
362	0.1454978223
363	0.1454936764
364	0.1454889999
365	0.1454862
366	0.1454835179
367	0.1454801776
368	0.1454777608
369	0.1454726226
370	0.1454672781
371	0.1454636824
372	0.1454598115
373	0.1454565302
374	0.1454523941
375	0.1454497611
376	0.1454458412
377	0.1454447114
378	0.1454408897
379	0.1454376181
380	0.1454310554
381	0.1454261628
382	0.1454228422
383	0.1454198359
384	0.1454165545
385	0.1454129195
386	0.1454071231
387	0.1454028593
388	0.1453993716
389	0.1453970825
390	0.1453932804
391	0.145389557
392	0.1453854897
393	0.1453740638
394	0.1453704386
395	0.1453661257
396	0.145361577
397	0.1453582269
398	0.145354248
399	0.145349041
400	0.145344846
401	0.1453424292
402	0.1453388039
403	0.1453349331
404	0.145332536
405	0.1453295493
406	0.1453264645
407	0.1453233305
408	0.145320668
409	0.1453178091
410	0.1453126316
411	0.1453081419
412	0.1453054205
413	0.1453021883
414	0.1452996143
415	0.1452968831
416	0.1452934052
417	0.1452886305
418	0.1452864888
419	0.1452837773
420	0.1452801029
421	0.1452752398
422	0.1452698168
423	0.1452661326
424	0.1452606211
425	0.1452566225
426	0.1452525257
427	0.145249097
428	0.1452451181
429	0.145241601
430	0.1452377694
431	0.145235107
432	0.1452323267
433	0.1452289176
434	0.1452258819
435	0.1452208911
436	0.1452166567
437	0.1452134147
438	0.1452101137
439	0.1452078344
440	0.1452033544
441	0.1451998864
442	0.1451960156
443	0.1451943356
444	0.1451907693
445	0.145187429
446	0.1451825954
447	0.1451782137
448	0.1451728103
449	0.145165943
450	0.1451629171
451	0.1451595178
452	0.1451516484
453	0.1451484751
454	0.1451464611
455	0.1451438577
456	0.1451403405
457	0.1451366956
458	0.1451324613
459	0.1451277063
460	0.1451235898
461	0.1451189331
462	0.1451135296
463	0.1451115058
464	0.1451088335
465	0.1451050511
466	0.1451024182
467	0.1450983902
468	0.1450957081
469	0.1450918078
470	0.145086591
471	0.1450832507
472	0.1450796353
473	0.1450762459
474	0.1450725814
475	0.1450679541
476	0.1450634348
477	0.1450610377
478	0.145058277
479	0.1450563514
480	0.1450521662
481	0.145049936
482	0.1450471263
483	0.1450431965
484	0.1450407305
485	0.145038186
486	0.145032871
487	0.1450300514
488	0.1450274774
489	0.1450240781
490	0.1450210227
491	0.145017594
492	0.1450141849
493	0.1450099604
494	0.1450057752
495	0.145002484
496	0.1449986427
497	0.1449965599
498	0.1449930918
499	0.1449895158
500	0.144984299
501	0.1449812338
502	0.1449782668
503	0.1449764394
504	0.1449732858
505	0.1449686978
506	0.1449656915
