iter	Passed	Remaining
0	16	16460
1	28	13981
2	37	12391
3	46	11629
4	55	11142
5	65	10784
6	74	10570
7	83	10396
8	93	10260
9	102	10189
10	112	10108
11	121	10029
12	131	9981
13	141	9937
14	150	9895
15	160	9848
16	169	9803
17	179	9780
18	188	9756
19	198	9723
20	208	9704
21	217	9676
22	227	9657
23	236	9627
24	246	9607
25	255	9589
26	264	9529
27	272	9471
28	281	9418
29	289	9362
30	297	9308
31	306	9265
32	314	9221
33	323	9178
34	331	9131
35	339	9080
36	347	9039
37	355	8996
38	363	8959
39	371	8921
40	379	8884
41	388	8852
42	396	8822
43	405	8802
44	415	8819
45	423	8792
46	432	8775
47	441	8751
48	449	8726
49	457	8695
50	465	8668
51	474	8643
52	482	8617
53	490	8588
54	498	8560
55	506	8544
56	514	8518
57	522	8493
58	531	8470
59	539	8450
60	547	8431
61	556	8414
62	564	8397
63	572	8379
64	581	8367
65	589	8346
66	597	8325
67	605	8304
68	613	8281
69	622	8266
70	630	8246
71	638	8229
72	646	8213
73	654	8195
74	662	8176
75	670	8156
76	678	8138
77	687	8121
78	695	8103
79	703	8089
80	711	8072
81	719	8055
82	727	8038
83	735	8020
84	743	8006
85	751	7991
86	759	7974
87	768	7962
88	776	7945
89	784	7929
90	792	7915
91	800	7900
92	808	7887
93	816	7873
94	824	7858
95	833	7845
96	841	7831
97	849	7816
98	857	7801
99	865	7790
100	874	7781
101	882	7768
102	890	7754
103	898	7738
104	906	7725
105	915	7718
106	923	7707
107	931	7696
108	940	7686
109	948	7675
110	956	7663
111	965	7653
112	973	7641
113	981	7631
114	990	7620
115	998	7608
116	1006	7598
117	1015	7587
118	1024	7581
119	1032	7570
120	1041	7569
121	1050	7562
122	1059	7553
123	1067	7540
124	1075	7529
125	1083	7518
126	1092	7506
127	1100	7495
128	1108	7483
129	1116	7472
130	1125	7464
131	1134	7457
132	1142	7448
133	1151	7439
134	1159	7429
135	1167	7420
136	1176	7409
137	1184	7400
138	1193	7390
139	1201	7380
140	1209	7370
141	1218	7362
142	1226	7352
143	1235	7344
144	1243	7333
145	1252	7324
146	1260	7315
147	1269	7305
148	1277	7297
149	1286	7289
150	1294	7277
151	1302	7265
152	1310	7254
153	1318	7242
154	1326	7231
155	1334	7220
156	1342	7209
157	1350	7198
158	1358	7187
159	1367	7180
160	1375	7169
161	1384	7159
162	1392	7149
163	1401	7141
164	1409	7130
165	1417	7120
166	1425	7112
167	1434	7104
168	1443	7097
169	1451	7087
170	1459	7075
171	1467	7065
172	1476	7059
173	1484	7048
174	1492	7037
175	1500	7027
176	1509	7016
177	1517	7005
178	1525	6995
179	1533	6984
180	1541	6975
181	1549	6964
182	1557	6953
183	1565	6942
184	1573	6932
185	1581	6922
186	1589	6911
187	1597	6901
188	1605	6891
189	1614	6881
190	1622	6872
191	1630	6861
192	1638	6852
193	1646	6842
194	1654	6831
195	1663	6822
196	1671	6813
197	1679	6803
198	1687	6793
199	1695	6782
200	1703	6772
201	1711	6762
202	1720	6752
203	1728	6743
204	1736	6733
205	1744	6725
206	1753	6715
207	1761	6706
208	1769	6696
209	1777	6687
210	1786	6679
211	1794	6670
212	1802	6661
213	1811	6652
214	1819	6642
215	1827	6633
216	1835	6622
217	1843	6613
218	1851	6603
219	1859	6593
220	1868	6585
221	1876	6576
222	1884	6567
223	1893	6558
224	1901	6549
225	1910	6541
226	1918	6532
227	1926	6524
228	1935	6515
229	1943	6506
230	1951	6496
231	1959	6486
232	1967	6476
233	1975	6467
234	1983	6457
235	1991	6448
236	1999	6438
237	2007	6428
238	2016	6419
239	2024	6410
240	2032	6401
241	2041	6394
242	2049	6384
243	2057	6374
244	2065	6365
245	2073	6355
246	2081	6345
247	2089	6336
248	2097	6327
249	2106	6318
250	2114	6308
251	2122	6299
252	2130	6291
253	2138	6282
254	2147	6272
255	2155	6265
256	2164	6256
257	2172	6247
258	2180	6238
259	2188	6228
260	2196	6219
261	2204	6210
262	2213	6201
263	2221	6192
264	2229	6183
265	2237	6173
266	2245	6164
267	2253	6156
268	2262	6147
269	2270	6137
270	2278	6128
271	2286	6118
272	2293	6108
273	2302	6099
274	2310	6091
275	2318	6083
276	2327	6074
277	2335	6066
278	2343	6057
279	2352	6049
280	2360	6040
281	2369	6033
282	2377	6023
283	2385	6014
284	2393	6004
285	2401	5995
286	2409	5986
287	2417	5977
288	2425	5967
289	2433	5958
290	2441	5949
291	2449	5940
292	2458	5933
293	2466	5923
294	2475	5914
295	2482	5905
296	2490	5895
297	2498	5886
298	2506	5877
299	2515	5868
300	2522	5858
301	2530	5849
302	2539	5840
303	2547	5831
304	2555	5822
305	2563	5813
306	2571	5805
307	2579	5795
308	2587	5787
309	2595	5777
310	2603	5768
311	2612	5759
312	2620	5750
313	2628	5741
314	2636	5732
315	2644	5723
316	2652	5713
317	2659	5704
318	2668	5695
319	2676	5687
320	2684	5677
321	2692	5668
322	2700	5659
323	2708	5650
324	2716	5641
325	2724	5633
326	2733	5624
327	2741	5616
328	2749	5607
329	2757	5597
330	2764	5588
331	2772	5578
332	2781	5570
333	2789	5562
334	2797	5554
335	2806	5545
336	2814	5536
337	2822	5528
338	2831	5520
339	2839	5511
340	2848	5503
341	2856	5495
342	2864	5487
343	2872	5478
344	2881	5470
345	2889	5461
346	2898	5453
347	2906	5444
348	2914	5436
349	2922	5427
350	2930	5418
351	2939	5410
352	2947	5402
